Dataset ID,Case Name,Court Case No.,Year,Reporter,Legal Topic / Law,Case Facts / Issue,Judgment / Holding,Source URL
NLR-80-013,Unknown,S. C. 642/75 - M. C. Kalmunai 53971,1978,NLR Volume 80,Criminal Law,Co-operative Societies Ordinance - Certificate under section 53A (5) - Recovery of money due on arbitrator’s award — Show cause clause — Limits. The petitioner sought to show cause urging that the inquiry before the arbitrator was conducted without the petitioner being informed of the specific matters in dispute or the charges alleged against him and therefore the award was ex-facie bad in law and that the amount due on the award was not recoverable as a fine. The Magistrate held that the award cannot be questioned in a Court of Law and imposed the sum stated in the certificate as a fine.,Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/013-NLR-NLR-V-80-S.-H.-L.-MOHIDEEN-Petitioner-and-ASSISTANT-COMMISSIONER-OF-CO-OPERATIVE-DEVELOP.pdf
NLR-80-005,"ISMAIL, J. - Sirisena and Others v. Kobbekaduwa,",,,NLR Volume 80,Administration of Justice Law,"sc ISMAIL, J. - Sirisena and Others v. Kobbekaduwa, M inister of Agriculture and Lands 107 Ism ail , J. At the hearing of these several appeals the Solicitor-General appearing for the Attorney-General and Attorneys for several respondents agreed to consolidate the arguments in all these appeals as common legal questions arose for consideration in all these matters listed for argument. It was agreed that decisions on these questions that were common in these appeals would dispose of all these applications. The matters that arise for consideration in these appeals can broadly be categorized under two sub­ heads (1) Was the order of the Supreme Court calling for the records in the above cases with a view to examining these records on the question of legality or propriety of the orders made therein done in the exercise of any jurisdiction lawfully vested in the Supreme Court and whether this Court had been properly constituted for the hearing of these applications? (2) In interpreting section 24 of the Interpretation (Amendment) Act whether an Injunction would lie against the Minister in respect of any act done by him either mala fide , ultra vires or without jurisdictio",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/005-NLR-NLR-V-80-ISMAIL-J.-Sirisena-and-Others-V.-Kobbekaduwa-Minister-of-Agriculture-and-Land.pdf
NLR-80-024,"J. M. D. JAMIS APPUHAMY Appellant and T. P. SHANMUGAM, Respondent",S.C. 69/76 — LT. 17/3681,1978,NLR Volume 80,Bail,"Labour Tribunal - Termination of services - Taxi driver - Master and servant - Contract of service - Contract for services. •The appellant who was running a taxi service employed the respondent as a taxi driver. Respondent was not paid any regular salary or wages, but was paid only a one-third share of the day’s profit out of the total earnings from the taxi driven by the respondent. The appellant terminated the service of the respondent. Respondent made application to the Labour Tribunal for relief. Appellant took up the position that the respondent is an independent contractor and denied that the respondent was his servant. HELD: That the respondent is an employee of the appellant and a workman within the meaning of the Industrial Disputes Act and not an independent contractor. A PPEAL from an order of the Labour Tribunal. A. J. I. Tilakawardena with Dudley Fernando for the Respondent-Appellant. Siva Rajaratnam for the Applicant — Respondent Cur. adv. vult. March 8, 1978. SHARVANANDA, J. The applicant-respondent filed application before the Labour Tribunal alleging that he was employed by the respondent-appellant (hereinafter referred to as the appellant) as a taxi-dri",That the respondent is an employee of the appellant and a workman within the meaning of the Industrial Disputes Act and not an independent contractor. A PPEAL from an order of the Labour Tribunal. A. J. I. Tilakawardena with Dudley Fernando for the Respondent-Appellant. Siva Rajaratnam for the Applicant — Respondent,https://lankalaw.net/wp-content/uploads/2024/12/024-NLR-NLR-V-80-M.-D.-JAMIS-APPUHAMY-Appellant-and-T.-P.-SHANMUGAM-Respondent.pdf
NLR-80-003,Unknown,D.C. Bandarawela,1978,NLR Volume 80,Bail,", L/10568, L/10569 and L 10570 D.C. Kandy. Thereafter the same two Judges and Udalagama, J. made the following order:- “The Registrar, Supreme Court, Colombo. In terms of section 354 (1) of the Administration of Justice Law No. 44 of 1973, having perused the records in the following cases in order to satisfy ourselves as to the legality and propriety of the orders made by the learned High Court and District Court Judges and the regularity of the proceedings in respect of such orders, we are of the opinion that the said orders on the face of the record appear to be illegal in view of the provisions of section 24 of the Interpretation Ordinance as amended by the Interpretation (Amendment) Act No. 18 of 1972. Notice Petitioners/Plaintiffs to appear and show cause as to why the said orders should not be set aside in the exercise of our powers of revision. Notice Respondents/Defendants and the Attorney-General. Petitioners/Plaintiffs will be noticed to appear to show cause on 14.6.1974. .1. H.C.P. Ratnapura 6/74 APN/GEN/13/74 - Order made on 13.5. 1974. 2. D.C. Kandy L. 10568 APN/GEN/10/74 - Order made on 22.4.1974. 3. D.C. Kandy L. 10569 APN/GEN/11/74 - Order made on 22.4.1",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/003-NLR-NLR-V-80-VYTHAILINGAM-J.-Sirisena-and-Others-V.-Kobbekaduwa-Minister-of-Agriculture-a.pdf
NLR-80-007,"GUNASEKERA, J. - Sirisena and Others v. Kobhekaduwa,",,,NLR Volume 80,Emergency Regulations,"sc GUNASEKERA, J. - Sirisena and Others v. Kobhekaduwa, Minister of Agriculture and Lands 133 WEERARATNE, J. This Bench was constituted by the Chief Justice on the ground that questions of general and public importance were involved in several cases in which interim injunctions were issued by the relevant High Courts and District Courts on the Honourable H. S. R. B. Kobbekaduwa, Minister of Agriculture and Lands, restraining him from taking any further steps towards the acquisition of the relevant petitioners’ properties and from evicting the petitioners’ servants and agents from the lands or buildings standing thereon. The injunctions were to be valid and operative for a stipulated period of time, during which the petitioners were to seek their appropriate relief from the relevant Courts. 134 New Law Reports (1978) Vol. 80N.L.R. At a stage when the petitioners were taking necessary steps to obtain relief from the said Courts, as undertaken by them, this Court issued notices signed by a Bench of Three Judges of the Supreme Court, to the petitioners, to appear and show cause as to why the orders of the said High Courts and District Courts should not be set aside in th",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/007-NLR-NLR-V-80-WEERARATNE-J.-Sirisena-and-Others-V.-Kobbekaduwa-Minister-of-Agriculture-and-.pdf
NLR-80-008,Unknown,,1978,NLR Volume 80,Criminal Procedure Code,") Vol. 80N.L.R. WIJESUNDERA, J. Notice was issued in terms of section 354(1) of the Administration of Justice Law No. 44 of 1973 at the instance of Pathirana, J., Udalagama, J. and myself on the Attorney-General and on the parties to these cases to show cause why the orders granting injunctions against the defendant, H. S. R. B. Kobbekaduwa, Minister of Agriculture and Lands, restraining him from proceeding with the acquisition of certain lands should not be set aside. When these cases came up for hearing before the same three Judges, the Attorney-at-law for the landowners took several objections and intimated to that Court that an application was being made under section 14(3) (c) of the Administration of Justice Law to have these cases referred to a Bench of five Judges and moved for an adjournment. By Order dated 14th June 1974 the adjournment was granted. Thereafter Alles, J., who was acting for the Chief Justice, referred these cases to a Bench of nine Judges. It is unnecessary to go into the details of each of these cases. They are all from the High Courts or the District Courts. They all relate to acquisition of land under the Land sc WLTESUNDERA, J. - Sirisen",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/008-NLR-NLR-V-80-WIJESUNDERA-J.-Sirisena-and-Others-V.-Kobbekaduwa-Minister-of-Agriculture-an.pdf
NLR-80-001,"PATHIRANA, J. - Sirisena and Others v. Kobbekaduwa,",H.C. Badulla - V/l/74,1974,NLR Volume 80,Criminal Procedure Code,"s.c. APN/GEN/7/74 D.C. Bandarawela - 1/6 s.c. APN/GEN/8/74 H.C. Kandy - 11/74 s.c. A PN/GEN/9/74 D.C. Kandy - U 10568 s.c. APN/GEN/10/74 D.C. Kandy - U 10569 s.c. APN/GEN/11/74 D.C. Kandy - U10570 s.c. APN/GEN/12/74 H.C. Kandy - 15/74 s.c. APN/GEN/13/74 H.C. Ratnapura - 6/74 s.c. APN/GEN/14/74 H.C. Kandy — 1/28/74 s.c. APN/GEN/15/74 H.C. . Kandy - 1/25/74 s.c. A PN/GEN/16/74 H.C. Kandy - U 10586 s.c. APN/GEN/18/74 H.C. Kandy - 1/37/74 S.C. APN/GEN/19/74 H.C. Kandy — 1/38/74 s.c. APN/GEN/20/74 H.C. Kandy - 1/39/74 s.c. APN/GEN/24/74 D.C. Gampola - X/1152 Administration of Justice Law No. 44 of 1973 section 14 (3) and section 354 (I) - Land Acquisition Ordinance (Chapter 460) — Interpretation Ordinance (Chapter 2) section 24 introduced by Interpretation (Amendment) Act No. 18 of 1972 - Applicability. Interim injunctions were issued, some by High Courts to be in operation for specific periods pending institution of actions in the District Courts, and some by District Courts pending final determination of actions, in each case against the Minister of Agriculture and Lands, restraining him from taking any further steps towards the acquisition of lands belonging to the petitioners. In terms of section 354 (1) of the Administration of Justice Law. No. 44 of 1973, three judges of the Supreme Court having perused the records in order to satisfy themselves as to the legality and propriety of the orders made, were of the opinion that the said interim'injunctions on the face of the records appeared to be illegal in view of the provisions of section 24 of the Interpretation Ordinance introduced by Interpretation (Amendment) Act. No. 18 of 1972. The petitioners/plaintiffs in the cases were noticed to appear and show cause why the said interim injunctions should not be set aside in the exercise of the revisionary powers of the Supreme Court. In terms of sections • 14 (3) of the Administration of Justice Law No. 44 of 1973 a bench of 9 judges was constituted by the Chief Justice to","by the majority, Perera J., Vythialingam J., Ismail J., Weeraratne J., and",https://lankalaw.net/wp-content/uploads/2024/12/001-NLR-NLR-V-80-PATHIRANAJ.-Sirisena-and-Others-V.-Kobbekaduwa-Minister-of-Agriculture-and-L.pdf
NLR-78-025,190 Dharmasena de Silva v. The Director o f Public Prosecutions,S. C. Application 546/1974,1974,NLR Volume 78,Bail,"Bail—Order by Coroner at inquest remanding accused—No reason» given—Administration of Justice Law, Section 75 (2). Section 75 (2) of the Administration of Justice Law states— When a suspect is sent before a Magistrate he may if he is satisfied that there are grounds for believing that the information T1TTAW ELLA, J .—•Dharmaserta de Silva v. The Director o f Public Prosecutions 191 against the suspect is well founded then for reasons recorded by him detain the suspect in custody pending further investigation for a period of fifteen days.” Where no grounds were stated by the Coroner at the inquest for remanding the suspect who was alleged to have knocked down and killed a child, except to say that the Police had made an application.",That the order was bad because section 75 (2) of the Administration of Justice Law makes it imperative that the reasons for the remand should always be made a matter of record.,https://lankalaw.net/wp-content/uploads/2024/12/025-NLR-NLR-V-78-DHARMASENA-DE-SILVA-Accused-Petitioner-and-THE-DIRECTOR-OF-PUBLIC-PROSECUTIO.pdf
NLR-78-023,The National Union o f W orkers v. The Scottish,S. C. Appeal Nos. 1 2 -1 7 /1 9 7 3,1975,NLR Volume 78,Administration of Justice Law,"S . C . 2 4 4 /7 0 -2 4 9 /7 0—L. T. Nos. H /1 0 /4 6 9 5 -4 9 0 1 /7 0 Industrial Disputes Act, Section 31B (1) (b )— Concept of gratuity and its legal incidents in proceedings before Labour Tribunals — Emergency (Payment of Gratuities and other Monetary Benefits to Indian Repatriates ) Regulation No. 3 of 1975—History of Labour Disputes Legislation. The Appellant Union made an application to the Labour Tribunal under Section 31 B (1) (b) of the Industrial Disputes Act on behalf of six workmen for payment of gratuity. The workmen had terminated their services with their employer from 16th March, 1970 in order to leave Ceylon for India under the Indo-Ceylon Agreement of 1964. There was no provision for payment of gratuity to them in their terms of employment. There was however the Collective Agreement No. 3 of 1967 which had been extended under Section 10 of the Industrial Disputes Act to the entire tea industry. A ll six workmen were employed in the tea industry and the said Collective Agreement was in force at the time of the termination of their services.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/023-NLR-NLR-V-78-THE-NATIONAL-UNION-OF-WORKERS-Appellant-and-THE-SCOTTISH-CEYLON-TEA-COMPAN.pdf
NLR-78-012,Sirimane. J.—Atula Ralnayake v. Jayasiughe 35,S. C. 1012/74,,NLR Volume 78,Criminal Law,Application for a Writ of certiorari—inordinate delay—whether the writ would issue. Where the petitioner applied for a Writ of certiorari to quash the verdict and sentence passed against him by a General Court Martial.,Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/012-NLR-NLR-V-78-ATULA-RATNAYAKE-Petitioner-and-Lieut.-Col.-G.-R.-JAYASINGHE-and-four-other-.pdf
