case_a_id,case_b_id,case_a_facts,case_b_facts,category_a,category_b,label
NLR-73-010,NLR-66-132,", for the respondent. Cur. adv. vult. August 7, 1909. SlRIMANE, J.— The respondent was elected a Member of Parliament for the Kolonnawa Electorate at a by-election held on 28th February, 1967. A petition challenging his election on grounds of bribery, undue influence and publication of false statements was dismissed bv the Election Judge, and the petitioner has appealed. The decision depended largely on findings of fact, and the main ground urged in appeal was that- the learned Trial Judge was wrong in holding that the petitioner had failed to establish that a newspaper called the "" Attha ” was the agent of the respondent. An appeal against the determination of an Election Judge lies only on a question of law (Vide section 82 (a) of the Ceylon (Parliamentary Elections) Order in Council, Chapter 3S1). In such eases, as pointed out in Mahawilhana v. Commissioner of Inland Revenue 1 an Appeal Court will not interfere unless-— (o) inferences have been drawn on a consideration of inadmissible evidence, or after excluding admissible evidence, or ’ . ( 6) if the inferences are unsupported by legal evidence, and (c) if the inferences are not rationally possible from the evide","that case, the question that was considered by my brother was the effect of the provisions of Section 46 a of the Immigrants and Emigrants Act as amended by Act No. 68 of 1961, and inasmuch as the corpus had not been charged with any offence to make Section 46 a applicable, my brother felt justified in releasing the corpus on bail. But the more important question is, whether in any event, an application for bail, as that term is understood in our law, can be entertained in habeas corpus proceedings. I have had the advantage of the assistance of Counsel on both sides in deciding this question, and at the conclusion of the argument, I made order refusing the app’i cation for bail and stated that I would give my reasons later. I now set out the reasons for the order that I havt made. According to Halsbury, “ the writ of habeas corpus is a prerogative process for seeming the liberty of the subject by affording an effective means of immediate release from unlawful or unjustifiable detention, whether in prison or in private custody ”. (Vol II p. 26, Simonds Edn.) It is therefore essential that any application for habeas corpus should be considered by the Court as expedit",Bail Law & Remand,Bail Law & Remand,1.0
NLR-76-095,NLR-71-089,"on Habeas corpus —Custody of a girl—Contest between her mother and father —Considerations applicable. In a contest between the petitioner and her husband (1st respondent), who were living apart, for the custody of their daughter, aged 9, who was living with the 1st respondent— Reid, that the fact that the 1st respondent was living in open adultery with • mistress was a factor to be taken into consideration in deciding whether the child should remain in the same home. Moreover, as a general rule, the custody of young children and of girls of any age will be given to the mother. DEHERAGODA, J .—Rajaluxumi v. Sivananda Iyer 573 PLICATION for a writ of habeas corpus. K. Thevarajah, for the petitioner. C. Molilal Nehru, for the respondent. Cur. adv. mlt. March 20, 1972. D eh era g o d a, J.— The petitioner Rajaluxumi is the wife of the 1st respondent Sivananda Iyer of Thondamanar. The 2nd to 6th respondents, namely Selvachandran, a boy of 11 years, Selvarani, a girl of 9 years, Selvamalar, also a girl of 8 years, Selvarasan, a hoy of 6 years, and Selvamani, a girl of 4 years, are their minor children. The petitioner stated in her petition that, owing to the habitual cruelty of her husb","Present: Strfmane, J. P. L. PREMAD ASA and 3 others, Petitioners, and THE QUEEN, Respondent 8. C. 213 A-D j67—Application for Bail under Section 31 of the Courts Ordinance in M . C. Trincomaiee, 2660 Courts Ordinance—Section 31—Application for bail thereunder—“ Good cause Shown to the contrary"". Xn an application for bail under Section 31 of the Courts Ordinance-",Bail Law & Remand,Bail Law & Remand,1.0
NLR-73-009,NLR-64-083,"e nature of a Writ of Quo Warranto under Section 42 of the Courts Ordinance Local authorities—Election of a member of a local authority—Whether its validity can . be challenged on ground of general undue influence andjor general treating — Quo Warranto— Village Councils Act, s. Jo—State Council ( Elections) Order in Council, J93J, ss. 48, 74—Local Authorities Elections Ordinance (Cap. 262), ss. 9, 9 (J)(k), JO, 24 to 69, 79, 8J, 83—Interpretation of statutes—Introduction of a single section of an Act into another Act —Effect-on interpreting the latter Act. Gonora) undue influence, or general treating is not a ground under the Local Authorities Ordinance to challenge, by way of Quo Warranto proceeding, the validity of the election of a member for the ward of a Village Council. Tho principle that an election must bo free, in the sense that votes of electors must not be influenced by general bribery or general undue influence, is not recognized by the implications to be inferred from section 69 of tho Local Authorities Elections Ordinance. Piyadasa v. Goonesinha (42 N. L. R. 339) overruled. Where e single Section of an Act is introduced into another Act, it must be read",", 22,585 Criminal Procedure Code—Section 440 (1)—Summary punishment of a witness for • perjury in open court—Procedure that should be followed in a trial before Supreme Court—-Duly of Court to inform witness of the gist of the accusation against him. Under section 440 (1) of the Criminal Procoduro Code it is for the Court, and not for the jury, to decide whether false evidencohos been ^iven by a witness, and if in the Court’s opinion the witness has given false evidonco, thon the Supreme Court has powor to sentence summarily “ as for a contempt o f the Court” . A rider brought by the jury to tho effect that the witness should bo doalt with for givirg false evidence is not equivalent to a verdict of guilty to a charge of perjury. ■ It is not necessary when proceeding under section 440 (1) for the accusation of giving false evidence to bo stated with the particularity required in a count of an indictment. I f the Court is of the opinion that the whole of a witness’s evidence was false, it may bo sufficient just to say that. But when it is not suggested that the whole of a witness’s evidence is false, it is essential that the witness be left in no doubt as to which parts a",Bribery & Public Corruption,Penal Code Offences,0.0
NLR-74-077,NLR-65-019,"Present: Samerawickrame, J. Y. M. SULTAN, Appellant, and THE KACIICMEEI SURVEYOR, TRTHCOHALEE, Respondent C. 371 jOS— 21. G. Trincomalce, 1102 Fared Ordinance—Prosecution thereunder— Validity if object is to protect Croun land. AVliero llio real object of a piosectif ion under (ho 1'urost Ordinnneo is to protect Crown land, (ho prosecution may proceed under (hat Ordinance oven though (here is a dispute as (o (ho Crown’s lillo (o (ho land. ./VpREAL from a judgment of (hoMagistrate's Court, Trincomalce. G. F. Sclliukacahtr, willi S. G. Wijesekent, for the accused-appellant. Lalith ltodriejo, Crown Counsel, for the Attorney-General. Cur. adv. vuU. December 20, 19G9. Samerawickrame , J.— The appellant Mas convicted of the offence of breaking up soil for purpose of cultivation of an extent of forest not included in a reserve or village forest in breach of certain rules made under the Forest Ordinance. Learned counsel for the appellant referred to certain unsuccessful pro­ ceedings had against the appellant earlier and submitted that the learned magistrate ought to have referred the prosecution to a civil court in that the claim made by the appellant had been the subject of a",", Colombo, 16,2161A Employees' Provident Fund Act, No. 15 of 1958—Sections 8 (1), 8 (2) (b) (ii), 10 (1), 15, 34 (a), 37, 47—Covered employment—Contributions to Fund —Computa­ tion—Meaning of phrase “ each month during which he works ” . Where an employer in a covered employment within the meaning of section 8 (1) of the Employees’ Provident Fund Act employed three persons for the months of November and December, 1959, and the employees did not work for the full month of December but only for a part of it— Reid, that the employer was liable, under section 15, read with section 10 (1), of the Act, to pay to the Employees’ Provident Fund contributions of the employees for the month of December even though tbe employees did not work for the full month. “ The provisions of section 10 (1) of the Act are clearly meant to apply to employments which have been declared as ‘ covered employments ’ by Regula­ tion, whether on a monthly basis or on a daily basis, provided the employee in question works during the course of the month, unless, by a regulation, the employment by the day or by the journey is specifically excluded from the operation of the Act in terms of section 8 (2) (6",Criminal Procedure & Jurisdiction,Penal Code Offences,0.0
NLR-73-021,NLR-65-017,", 35650 Offence of loitering by reputed thief—Ingredients of offence—Burden of proof—Penal Code, t. 451. In a prosecution, under section 451 of the Penal Code, for loitering by a reputed thief, it must be proved (a) that the accused is a reputed thief, (6) that he was loitering or lurking about a public place, and (c) that his intention was to commit theft or some other unlawful act. ' Proof that the accused is a reputed thief may be established on his being identified subsequent to his arrest on suspicion and at the trial. PANDITA-GUNAWARDENE, J .— P erera v . In sp ec to r o j P olice, B ala n g o d a 95 . A p PE A L from a judgment of the Magistrate’s Court, Balangoda. Accused-appellant in person. S. IP. B. Wa&ugodapitiya, Crown Counsel, for the Attorney-General. December 16,1968. P a k d it a-Gu n aw abd ek e, J.— On 16th December 1968, at about 2.15 a.m. the appellant was seen by Sergeant Alwis of the Balangoda Police, who was on patrol duty, in the verandah of a building called Koya Stores, Main Street, Balangoda, peeping through a space in the planks and at the same time, meddling with a padlock which was apparently on the plank door. On suspicion, Sergeant Alwi","Present: Sansonl, J. (President), H. W. 6. Fernando, 1., and L. B. de Silva, J.. THE QUEEN v. D. J. F. D. LIYANAGE and others Trial at Bar No. 2 of 1962 Trial at Bar—Criminal Law (Special Provisions) Act, No. 1 of 1962, ss. 6,9,17,18,19, 21—Criminal Law Act, No. 31 of 1962, s. 6 —Bench constituted under Act No. 1 of 1962—Loch of jurisdiction to hear information—Second information filed by virtue of Act No. 31 of 1962—Jurisdiction of Court to hold trial thereon—Invalidity of plea in the nature of autrefois arraign— Validity of ex post facto legislation— Validity of legislation enacted in English language after 1st January 1961—Penal Code, ss. 69, 72, 114,115,116—Criminal Procedure Code, ss. 440A ( 1), 440B—Courts Ordinance, s. 19—Ceylon ( Constitution) Order in Council, 1946, ss. 29 (4), 36, 38—Declaration of Human Rights (United Nations Organisation), Article 11—Official Language Act, No. 33 of 1956, s. 2 —Revised Edition of the Legislative Enactments Act, No. 2 of 1956, s. 12 (3). On 23rd June 1962 the Attorney-General filed in the Supreme Court an information against the defendants under the provisions of the Criminal Law (Special Provisions) Act No. 1 of 1962. Summons was issued",Penal Code Offences,Penal Code Offences,1.0
NLR-78-010,NLR-70-111,", 465/53548 Criminal Law— Criminal breach of trust —essential, elements to be proved—Penal Code S. 329. T he appellant, the m anager o f a -W holesale C o-operative Store, w as charged w ith and con victed o f crim inal breach o f trust o f goods entrusted to the C o-operative Society. H eld: That in a prosecution fo r crim inal breach o f trust, the fact that a shortage o f goods has occu rred is b y itself not evidence from w h ich a dishonest m isappropriation can he inferred. The prosecu­ tion m ust elim inate the possibility that the shortage could have occurred b y any other m eans except dishonest m isappropriation. A p p e a l from a judgment of the District Court, Balapitiya. Nimal Senanayake with Rohan Perera for the Accused— Appellant. Upawansa Yapa, State Counsel, for the Attorney-General. July 14, 1975. P a t h i r a n a , J.— The appellant was the Manager of the Maha Edanda Wholesale Co-operative Store. He and the 2nd accused, the bill clerk, were charged with having between 29th April, 1967 and 4th June, 1967, committed criminal breach of trust of goods to the value 32 PATHIRANA, J .—Sumanadaaa v. The State of Rs. 9,513.81 entrusted to them by the Co-oper","S. G. 217 of 1966—M. C. Panctdura, 95712 S e n te n c e — P r e v io u s c o n v ic tio n — S co p e o f i t s releva n cy. In assessing the sentence that should be passed on an accused person when he is convicted, the Court must not take into account a conviction of the accused for an offence committed after the date of the commission of the offence in respect of which he is being sentenced. A i VPPEAL against a conviction at a trial before the Supreme Court. C. Ganesh (Assigned), for Accused-Appellant. Ranjith Abeysuriya, Crown Counsel, for the Crown. November 2, 1967. T. S. F ernando, A.C.J.— The appellant who at the relevant time was 18 years of age, and according to the evidence, a mechanic by occupation, was convicted of an attempt to commit the offence of culpable homicide not amounting to murder by causing an injury on the back of a man named Vincent. We are not disposed to interfere with the conviction but the sentence imposed on the appellant is one of 5 years’ rigorous imprisonment. While we must bear in mind that the weapon used is a pointed one, we have to take into account the fact that the appellant on this occasion caused the injury in the course of int",Penal Code Offences,Penal Code Offences,1.0
NLR-66-127,NLR-64-031,"Present: Sri Skanda Rajah, J. HARAMANIS APPUHAMY, Appellant, and INSPECTOR OF POLICE. BANDARAGAMA, Respondent S. G. 257/1964—M. G. Panadura, 78,171 Appeal— Tim e lim it fo r filin tt petition of appeal in crim inal case —Computation — C rim inal Procedure Code, ss. 306, 33S (I) (a). Where an accused person is convicted and sentenced, the time within which an appeal should be preferred must be computed from the date on which the reasons for the decision are given, and not from the date of conviction and sentence. Jones v. Amaraweera (1939) 41 N. L. R. 263, not followed. Knives Ordinance— Section 3— Im position of fine— Default sentence must be simple imprisonment— C rim inal Procedure Code, ss. 312 (I) (c), 312 (1) (e) (v). Under section 3 of the Knives Ordinance, only a fine can be imposed and, therefore, the default sentence should be simple, and not rigorous, imprisonment. A.PPEAL from, a judgment of the Magistrate’s Court, Panadura. No appearance for accused-appellant. W. K. Premaratne, Crown Counsel, for the Attorney-General. June 12, 1964. S r i S k a n d a R a j a h , J.— When this matter was taken up yesterday, Mr. Premaratne, Crown Counsel, who appeared for the re","j 1915 Workman employed by a registered co-operative society■ —flight to apply for reliefs obtainable under Industrial Disputes Act—Co-operative Societies Ordinance (Cap. 124), s. 5 3—Industrial Disputes Act (Cap. 1 3 1 ), as amended by Act No. €2 of 1 9 5 7, ss. 3 1 b , 3 3 ( 1 ) —Applicability of maxim Generalia specialibus non derogant. Section 53 of the Co-operative Societies Ordinance, which declares that the decision o f tho arbitrator and/or the Registrar in a certain class of disputes between a registered co-operative society and any employee thereof “ shall be final and shall not be called in question in any civil court ” , does not oust the jurisdiction of a Labour Tribunal to grant relief to the employee if he is a workman within the meaning of the Industrial Disputes Act, and, as such, chooses to make an application for re'ief in terms of section 31b of the Industrial Disputes Act (Cap. 131), as amended by Act No. 62 of 1957. In such a case,; the maxim Generalia spedalibus non derogant is not applicable. In a dispute falling within section 53 of the Co-operative Societies Ordinane® the arbitrator or the registrar must decide in accordance with the legal ri",Criminal Procedure & Jurisdiction,Criminal Procedure & Jurisdiction,1.0
NLR-74-123,NLR-77-093,", for the accused-appellants. Shibly Aziz, Crown Counsel, for the Attorney-General. December 6,1969. H. N. G. F e r n a n d o , C. J.— I see no reason to interfere with the conviction and sentence of the 1st accused on the first count. W ith regard to the second count the charge against these accused was that “ being traders ” they failed to exhibit a notico specifying the maximum price of mutton. There was no evidence however that either the 1st or the 2nd accused was a trader. In regard to the 1st accused the evidonce was that he was a salesman and in regard to the 2nd accused. the evidonce was that he was the cashier. In the present contoxt of the sale of meat at a butcher’s stall, I think counsel for tho appellant quite rightly relied on tho references in the Butchers Ordinance to the trade of a butcher and to the licensing system applicable to that trade. When therefore a person is charged with having committed a breach of a prico control order as a trader, that word must properly be given a meaning similar to the meaning of tho same word when it occurs in the Butchers Ordinance. I would therefore acquit both the accused on tho second count. In regard to tho cha","1 Labour Tribunal—Inquiry into a criminal act involving moral turpitude —Standard of proof required—Industrial Disputes Act sections 31 (B) (I), 31 (B) (3), 31 (c) (1), 36 (4), 39 (1) (ff). Where in an inquiry before a Labour Tribunal it was alleged that the reason for the termination of employment was that the workman was guilty of a criminal act involving moral turpitude, the allegation need not be established by proof beyond reasonable doubt as in a criminal case. Such an allegation has to be decided on a balance of probability, the very elements of the gravity of the charge becoming a part of the whole range of circumstances which are weighed in the balance, as in every other civil proceeding. The Ceylon University Clerical and Technical Association, Peradeniya v. University of Ceylon, Peradeniya, 72 N.L.R. 84 not followed. PPEAL from an Order of a Labour Tribunal. N. Satyendra , for the Respondent-Appellant. R. I. Obeysekera, with A. W. Yusuf for the Applicant- feespondent. Cur. adv. vult. February 27, 1975. V y t h i a l i n g a m , J.— This is an appeal by the employer from an order of the Presi- # dent of the Labour Tribunal directing the reinstatement of the",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
NLR-73-063,LK-NLR-68-THE-QUEEN-v.-W,"Present: Tennekcon, J. H. R. DHARMASENA and another, Appellants, and SUB-INSPECTOR OF POLICE, KADUGANNAWA, Respondent 5. C. 1161-62/6S—M . C. Kandy, 49274 C rim inal P rocedu re Code, as amended b y A ct K o . 25 o f 1961— S ection 406 (3)—• R ep ort o f a Lecturer in F orensic M ed icin e— W hether it ca n be u sed as evidence. In a prosecution for causing grievous hurt, a medicolegal report of a Lecturer in Forensic Medieino who is not employod under tho Government- as a medical officer is not receivable in evidence under section 400 (3) of tho Criminal Procedure Codo in regard to tho nature of tho injurios in quostion. A p p e a l from a judgment of the Magistrate’s Court, Kandy. t T. IF. Rajaratnam, for the accused-appellant. Kumar Amarasekera, Crown Counsel, for the Attornej'-Gcneral. Cur. adv. vult. May 21, 1969. T e x n e k o o x , J-— The two accused were charged and convicted of the offence of volun- . tnrily causing grievous hurt to the complainant, and were each sentenced to three months rigorous imprisonment. The evidence of the complainant and of the other supporting witness was to the effect that the two accused together assaulted the complainant with hand","Indictment—Joinder of charges of theft with charges of retention and disposal of stolen property—Legality—Criminal Procedure Code, ss. 179, 180 (1), 181. The accused-appellant was charged in the same indictment with the commission of the offence of theft of certain articles and, in the alternative, of retention and disposal, at least one year later, of stolen property.",Penal Code Offences,Penal Code Offences,1.0
LK-NLR-68-IN-RE-STEPHEN-,NLR-66-088,",for the Respondents. J. G. T. Weeraratne, Deputy Solicitor-General, with Ananda de Silva, as amicus curiae. Cur. adv. vult. February 9, 1966. SRI SKANDA RAJAH, J.- An objection was taken in regard to the Jurisdiction of this Court to call upon the present respondents to show cause, if any, why they should not be reported under the provisions of Section 82 (b) of the Ceylon (Parliamentary Elections ) Order in Council, 1946. The Deputy Solicitor-General, who appeared on notice as amicus curiae, pointed out that such objection cannot be taken in these proceedings, and he cited two cases and passages from two text books. In Toronto Railway Corporation v. City of Toronto [1 (1919) 46 Canadian Dominion Law Reports 457. ] it was held that the status of a de facto Judge, having at least a colourable title to his ofﬁce, cannot be attacked in a collateral proceeding ; the proper proceeding to question his right to his ofﬁce would be by quo warranto information. Numerous authorities were cited in that case in support of this view. That case went up in appeal to the Privy Council. The appeal was allowed on some other ground. The above view was not disapproved of by the Privy C",", 247531B ■Criminal breach of trust—Requirement of proof of entrustment—Penal Code, es. 388, 389. ' In the absence of entrustment there can be no criminal breach of trust committed in respect of a sum of money received as security by an employer from an employee. /APPLICATION to revise an order of the Magistrate’s Court, Colombo. Neville Wijeratne, for the accused-petitioner. N. B. D. S. Wijesehera, Crown Counsel, for Attorney-General. September 13, 1963. W e e r a s o o r iy a , S.P.J.— It is quite clear that there has been no entrustment of the sum of Rs. 2,000 paid to the accused by the virtual complainant Rodrigo. In the absence of entrustment there can be no criminal breach of trust committed in respect of that sum. The accused was the Post-Mistress at a Sub-Post Office, where she had employed Rodrigo as a “ substitute ”. In connection with bis emplovment Rodrigo paid the accused a sum of Rs. 2,000 as security. The conditions subject to which the security was paid are set out in the document P3 signed by the accused. Although these conditions are not exhaustive of the rights and liabilities of the parties, they provide for the payment by the accused of interest on",Criminal Procedure & Jurisdiction,Penal Code Offences,0.0
